Notes,Year,Year Code,Gender,Gender Code,Mother's Bridged Race,Mother's Bridged Race Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Births
,2007,2007,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-5,308499
,2007,2007,Female,F,White,2106-3,Not Hispanic or Latino,2186-5,1125699
,2007,2007,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-5,318692
,2007,2007,Male,M,White,2106-3,Not Hispanic or Latino,2186-5,1184634
,2008,2008,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-5,306584
,2008,2008,Female,F,White,2106-3,Not Hispanic or Latino,2186-5,1105195
,2008,2008,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-5,316445
,2008,2008,Male,M,White,2106-3,Not Hispanic or Latino,2186-5,1162622
,2009,2009,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-5,299833
,2009,2009,Female,F,White,2106-3,Not Hispanic or Latino,2186-5,1077898
,2009,2009,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-5,309751
,2009,2009,Male,M,White,2106-3,Not Hispanic or Latino,2186-5,1134654
,2010,2010,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-5,289321
,2010,2010,Female,F,White,2106-3,Not Hispanic or Latino,2186-5,1053022
,2010,2010,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-5,300487
,2010,2010,Male,M,White,2106-3,Not Hispanic or Latino,2186-5,1109384
,2011,2011,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-5,286397
,2011,2011,Female,F,White,2106-3,Not Hispanic or Latino,2186-5,1044405
,2011,2011,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-5,295948
,2011,2011,Male,M,White,2106-3,Not Hispanic or Latino,2186-5,1102161
,2012,2012,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-5,287135
,2012,2012,Female,F,White,2106-3,Not Hispanic or Latino,2186-5,1039575
,2012,2012,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-5,296354
,2012,2012,Male,M,White,2106-3,Not Hispanic or Latino,2186-5,1094469
,2013,2013,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-5,287408
,2013,2013,Female,F,White,2106-3,Not Hispanic or Latino,2186-5,1036571
,2013,2013,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-5,296426
,2013,2013,Male,M,White,2106-3,Not Hispanic or Latino,2186-5,1092625
,2014,2014,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-5,290506
,2014,2014,Female,F,White,2106-3,Not Hispanic or Latino,2186-5,1046106
,2014,2014,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-5,298385
,2014,2014,Male,M,White,2106-3,Not Hispanic or Latino,2186-5,1103196
