race,gest,year,births
NHB,17,2003,128
NHB,18,2003,205
NHB,19,2003,336
NHB,20,2003,516
NHB,21,2003,696
NHB,22,2003,839
NHB,23,2003,1074
NHB,24,2003,1430
NHB,25,2003,1549
NHB,26,2003,1741
NHB,27,2003,1872
NHB,28,2003,2257
NHB,29,2003,2582
NHB,30,2003,3318
NHB,31,2003,4295
NHB,32,2003,5654
NHB,33,2003,8173
NHB,34,2003,13247
NHB,35,2003,19993
NHB,36,2003,32079
NHB,37,2003,57291
NHB,38,2003,101183
NHB,39,2003,129146
NHB,40,2003,101268
NHB,41,2003,46452
NHB,42,2003,16549
NHB,43,2003,9255
NHB,44,2003,4595
NHB,45,2003,2354
NHB,46,2003,1165
NHB,47,2003,751
NHB,99,2003,4040
NHW,17,2003,103
NHW,18,2003,215
NHW,19,2003,296
NHW,20,2003,499
NHW,21,2003,716
NHW,22,2003,956
NHW,23,2003,1167
NHW,24,2003,1640
NHW,25,2003,1937
NHW,26,2003,2280
NHW,27,2003,2830
NHW,28,2003,3876
NHW,29,2003,4848
NHW,30,2003,6666
NHW,31,2003,8861
NHW,32,2003,12765
NHW,33,2003,19296
NHW,34,2003,33167
NHW,35,2003,55994
NHW,36,2003,102835
NHW,37,2003,203876
NHW,38,2003,425902
NHW,39,2003,581238
NHW,40,2003,469198
NHW,41,2003,224361
NHW,42,2003,71631
NHW,43,2003,36275
NHW,44,2003,18510
NHW,45,2003,9474
NHW,46,2003,5133
NHW,47,2003,3096
NHW,99,2003,12263
NHB,17,2004,119
NHB,18,2004,228
NHB,19,2004,312
NHB,20,2004,506
NHB,21,2004,662
NHB,22,2004,875
NHB,23,2004,1121
NHB,24,2004,1381
NHB,25,2004,1584
NHB,26,2004,1906
NHB,27,2004,1750
NHB,28,2004,2321
NHB,29,2004,2721
NHB,30,2004,3577
NHB,31,2004,4229
NHB,32,2004,5912
NHB,33,2004,8126
NHB,34,2004,13006
NHB,35,2004,20114
NHB,36,2004,32517
NHB,37,2004,58349
NHB,38,2004,102447
NHB,39,2004,131504
NHB,40,2004,100286
NHB,41,2004,45799
NHB,42,2004,16128
NHB,43,2004,8814
NHB,44,2004,4540
NHB,45,2004,2235
NHB,46,2004,1183
NHB,47,2004,664
NHB,99,2004,3856
NHW,17,2004,98
NHW,18,2004,175
NHW,19,2004,314
NHW,20,2004,526
NHW,21,2004,684
NHW,22,2004,916
NHW,23,2004,1210
NHW,24,2004,1639
NHW,25,2004,1948
NHW,26,2004,2340
NHW,27,2004,2805
