year,gest,race,births
2007,17,NHB,123
2007,18,NHB,203
2007,19,NHB,350
2007,20,NHB,562
2007,21,NHB,731
2007,22,NHB,963
2007,23,NHB,1192
2007,24,NHB,1554
2007,25,NHB,1767
2007,26,NHB,2009
2007,27,NHB,2169
2007,28,NHB,2559
2007,29,NHB,2955
2007,30,NHB,3786
2007,31,NHB,4643
2007,32,NHB,6344
2007,33,NHB,9036
2007,34,NHB,14858
2007,35,NHB,22469
2007,36,NHB,36256
2007,37,NHB,66034
2007,38,NHB,118791
2007,39,NHB,146910
2007,40,NHB,103412
2007,41,NHB,43957
2007,42,NHB,15413
2007,43,NHB,8725
2007,44,NHB,4397
2007,45,NHB,2183
2007,46,NHB,1133
2007,47,NHB,649
2007,99,NHB,1058
2007,17,NHW,129
2007,18,NHW,169
2007,19,NHW,271
2007,20,NHW,530
2007,21,NHW,725
2007,22,NHW,896
2007,23,NHW,1132
2007,24,NHW,1773
2007,25,NHW,2022
2007,26,NHW,2482
2007,27,NHW,2903
2007,28,NHW,4024
2007,29,NHW,4960
2007,30,NHW,6744
2007,31,NHW,9143
2007,32,NHW,13042
2007,33,NHW,19250
2007,34,NHW,34095
2007,35,NHW,57097
2007,36,NHW,104053
2007,37,NHW,209528
2007,38,NHW,445727
2007,39,NHW,612394
2007,40,NHW,447001
2007,41,NHW,198121
2007,42,NHW,64675
2007,43,NHW,32110
2007,44,NHW,16631
2007,45,NHW,8681
2007,46,NHW,4607
2007,47,NHW,2861
2007,99,NHW,2557
2008,17,NHB,132
2008,18,NHB,220
2008,19,NHB,331
2008,20,NHB,530
2008,21,NHB,697
2008,22,NHB,825
2008,23,NHB,1112
2008,24,NHB,1406
2008,25,NHB,1615
2008,26,NHB,1853
2008,27,NHB,1972
2008,28,NHB,2446
2008,29,NHB,2738
2008,30,NHB,3547
2008,31,NHB,4483
2008,32,NHB,6227
2008,33,NHB,8900
2008,34,NHB,14169
2008,35,NHB,21156
2008,36,NHB,34766
2008,37,NHB,64843
2008,38,NHB,116507
2008,39,NHB,150047
2008,40,NHB,104435
2008,41,NHB,44216
2008,42,NHB,15547
2008,43,NHB,8545
2008,44,NHB,4581
2008,45,NHB,2259
2008,46,NHB,1220
2008,47,NHB,704
2008,99,NHB,1000
2008,17,NHW,107
2008,18,NHW,153
2008,19,NHW,301
2008,20,NHW,481
2008,21,NHW,672
2008,22,NHW,848
2008,23,NHW,1102
2008,24,NHW,1711
2008,25,NHW,1764
2008,26,NHW,2282
2008,27,NHW,2840
2008,28,NHW,3781
2008,29,NHW,4812
2008,30,NHW,6698
2008,31,NHW,8677
2008,32,NHW,12604
2008,33,NHW,18651
2008,34,NHW,32131
2008,35,NHW,53939
2008,36,NHW,98783
2008,37,NHW,198732
2008,38,NHW,419623
2008,39,NHW,621430
2008,40,NHW,444126
2008,41,NHW,199811
2008,42,NHW,64121
2008,43,NHW,32277
2008,44,NHW,17065
2008,45,NHW,8686
2008,46,NHW,4483
