race,gest,year,sex,births
NHB,17,2007,F,42
NHB,18,2007,F,84
NHB,19,2007,F,162
NHB,20,2007,F,254
NHB,21,2007,F,322
NHB,22,2007,F,444
NHB,23,2007,F,551
NHB,24,2007,F,758
NHB,25,2007,F,846
NHB,26,2007,F,978
NHB,27,2007,F,1058
NHB,28,2007,F,1318
NHB,29,2007,F,1468
NHB,30,2007,F,1892
NHB,31,2007,F,2361
NHB,32,2007,F,3049
NHB,33,2007,F,4412
NHB,34,2007,F,7138
NHB,35,2007,F,10917
NHB,36,2007,F,17678
NHB,37,2007,F,31861
NHB,38,2007,F,57990
NHB,39,2007,F,72332
NHB,40,2007,F,51688
NHB,41,2007,F,22050
NHB,42,2007,F,7755
NHB,43,2007,F,4372
NHB,44,2007,F,2206
NHB,45,2007,F,1093
NHB,46,2007,F,604
NHB,47,2007,F,310
NHB,99,2007,F,506
NHW,17,2007,F,54
NHW,18,2007,F,76
NHW,19,2007,F,117
NHW,20,2007,F,232
NHW,21,2007,F,313
NHW,22,2007,F,436
NHW,23,2007,F,500
NHW,24,2007,F,824
NHW,25,2007,F,938
NHW,26,2007,F,1161
NHW,27,2007,F,1367
NHW,28,2007,F,1833
NHW,29,2007,F,2307
NHW,30,2007,F,3173
NHW,31,2007,F,4170
NHW,32,2007,F,6025
NHW,33,2007,F,8846
NHW,34,2007,F,15918
NHW,35,2007,F,26563
NHW,36,2007,F,48352
NHW,37,2007,F,98501
NHW,38,2007,F,213218
NHW,39,2007,F,300972
NHW,40,2007,F,223434
NHW,41,2007,F,99932
NHW,42,2007,F,32721
NHW,43,2007,F,16119
NHW,44,2007,F,8328
NHW,45,2007,F,4327
NHW,46,2007,F,2328
NHW,47,2007,F,1387
NHW,99,2007,F,1227
NHB,17,2007,M,81
NHB,18,2007,M,119
NHB,19,2007,M,188
NHB,20,2007,M,308
NHB,21,2007,M,409
NHB,22,2007,M,519
NHB,23,2007,M,641
NHB,24,2007,M,796
NHB,25,2007,M,921
NHB,26,2007,M,1031
NHB,27,2007,M,1111
NHB,28,2007,M,1241
NHB,29,2007,M,1487
NHB,30,2007,M,1894
NHB,31,2007,M,2282
NHB,32,2007,M,3295
NHB,33,2007,M,4624
NHB,34,2007,M,7720
NHB,35,2007,M,11552
NHB,36,2007,M,18578
NHB,37,2007,M,34173
NHB,38,2007,M,60801
NHB,39,2007,M,74578
NHB,40,2007,M,51724
NHB,41,2007,M,21907
NHB,42,2007,M,7658
NHB,43,2007,M,4353
NHB,44,2007,M,2191
NHB,45,2007,M,1090
NHB,46,2007,M,529
NHB,47,2007,M,339
NHB,99,2007,M,552
NHW,17,2007,M,75
NHW,18,2007,M,93
NHW,19,2007,M,154
NHW,20,2007,M,298
NHW,21,2007,M,412
NHW,22,2007,M,460
NHW,23,2007,M,632
NHW,24,2007,M,949
NHW,25,2007,M,1084
NHW,26,2007,M,1321
NHW,27,2007,M,1536
NHW,28,2007,M,2191
NHW,29,2007,M,2653
NHW,30,2007,M,3571
NHW,31,2007,M,4973
NHW,32,2007,M,7017
NHW,33,2007,M,10404
NHW,34,2007,M,18177
NHW,35,2007,M,30534
NHW,36,2007,M,55701
NHW,37,2007,M,111027
NHW,38,2007,M,232509
NHW,39,2007,M,311422
NHW,40,2007,M,223567
NHW,41,2007,M,98189
NHW,42,2007,M,31954
NHW,43,2007,M,15991
NHW,44,2007,M,8303
NHW,45,2007,M,4354
NHW,46,2007,M,2279
NHW,47,2007,M,1474
NHW,99,2007,M,1330
NHB,17,2008,F,52
NHB,18,2008,F,98
NHB,19,2008,F,130
NHB,20,2008,F,243
NHB,21,2008,F,316
NHB,22,2008,F,372
NHB,23,2008,F,530
NHB,24,2008,F,687
NHB,25,2008,F,796
NHB,26,2008,F,906
NHB,27,2008,F,947
NHB,28,2008,F,1180
NHB,29,2008,F,1359
NHB,30,2008,F,1771
NHB,31,2008,F,2200
NHB,32,2008,F,3151
NHB,33,2008,F,4289
NHB,34,2008,F,6851
NHB,35,2008,F,10313
NHB,36,2008,F,16746
NHB,37,2008,F,31251
NHB,38,2008,F,56705
NHB,39,2008,F,74123
NHB,40,2008,F,52186
NHB,41,2008,F,22198
NHB,42,2008,F,7906
NHB,43,2008,F,4275
NHB,44,2008,F,2335
NHB,45,2008,F,1170
NHB,46,2008,F,644
NHB,47,2008,F,361
NHB,99,2008,F,493
NHW,17,2008,F,36
NHW,18,2008,F,67
NHW,19,2008,F,122
NHW,20,2008,F,229
NHW,21,2008,F,304
NHW,22,2008,F,384
NHW,23,2008,F,504
NHW,24,2008,F,794
NHW,25,2008,F,840
NHW,26,2008,F,1060
NHW,27,2008,F,1354
NHW,28,2008,F,1759
NHW,29,2008,F,2268
NHW,30,2008,F,3094
NHW,31,2008,F,4140
NHW,32,2008,F,5847
NHW,33,2008,F,8574
NHW,34,2008,F,14884
NHW,35,2008,F,25062
NHW,36,2008,F,46093
NHW,37,2008,F,93065
NHW,38,2008,F,200330
NHW,39,2008,F,304731
NHW,40,2008,F,222170
NHW,41,2008,F,100994
NHW,42,2008,F,32530
NHW,43,2008,F,16359
NHW,44,2008,F,8529
NHW,45,2008,F,4400
NHW,46,2008,F,2178
NHW,47,2008,F,1390
NHW,99,2008,F,1104
NHB,17,2008,M,80
NHB,18,2008,M,122
NHB,19,2008,M,201
NHB,20,2008,M,287
NHB,21,2008,M,381
NHB,22,2008,M,453
NHB,23,2008,M,582
NHB,24,2008,M,719
NHB,25,2008,M,819
NHB,26,2008,M,947
NHB,27,2008,M,1025
NHB,28,2008,M,1266
NHB,29,2008,M,1379
NHB,30,2008,M,1776
NHB,31,2008,M,2283
NHB,32,2008,M,3076
NHB,33,2008,M,4611
NHB,34,2008,M,7318
NHB,35,2008,M,10843
NHB,36,2008,M,18020
NHB,37,2008,M,33592
NHB,38,2008,M,59802
NHB,39,2008,M,75924
NHB,40,2008,M,52249
NHB,41,2008,M,22018
NHB,42,2008,M,7641
NHB,43,2008,M,4270
NHB,44,2008,M,2246
NHB,45,2008,M,1089
NHB,46,2008,M,576
NHB,47,2008,M,343
NHB,99,2008,M,507
