year,race,extremely preterm births,very preterm births,later preterm births,full-term births,total births,total extremely preterm deaths,"extremely preterm deaths, first week","extremely preterm deaths, neonatal","extremely preterm deaths, post-neonatal",total very preterm deaths,"very preterm deaths, first week","very preterm deaths, neonatal","very preterm deaths, post-neonatal",total late preterm deaths,"late preterm deaths, first week","late preterm deaths, neonatal","late preterm deaths, post-neonatal",total full-term deaths,"full-term deaths, first week","full-term deaths, neonatal","full-term deaths, post-neonatal",extremely preterm overall mortality,very preterm overall mortality,late preterm overall mortality,full-term overall mortality,extremely preterm first-week mortality,very preterm first-week mortality,late preterm first-week mortality,full-term first-week mortality,extremely preterm neonatal mortality,very preterm neonatal mortality,late preterm neonatal mortality,full-term neonatal mortality,extremely preterm post-neonatal mortality,very preterm post-neonatal mortality,late preterm post-neonatal mortality,full-term post-neonatal mortality,overall first-week mortality,overall neonatal mortality,overall post-neonatal mortality,overall mortality
2003,NHB,10386,12452,79146,470009,571993,4342,3312,3807,535,665,257,413,252,811,247,377,434,1865,267,560,1305,418.0627768149432,53.40507548988114,10.246885502741769,3.9680091232295553,318.89081455805893,20.63925473819467,3.120814696889293,0.5680742283658398,366.5511265164645,33.167362672663025,4.763348747883658,1.191466546385282,51.51165029847872,20.237712817218117,5.48353675485811,2.7765425768442733,7.138199243697038,9.015844599496846,4.416137959730277,13.431982559227123
2003,NHW,12639,24251,224057,2048694,2309641,5273,4332,4857,416,1135,649,865,270,1848,783,1067,781,4738,1027,1766,2972,417.2007279056887,46.80219372397015,8.247901203711555,2.3126928667726854,342.7486351768336,26.76178301925694,3.494646451572591,0.5012949713329565,384.2867315452172,35.6686322213517,4.7621810521429815,0.8620125797215201,32.91399636047156,11.133561502618448,3.4857201515685743,1.4506802870511653,2.940283793022379,3.704038852791408,1.92194371333034,5.625982566121748
2004,NHB,10444,12848,79675,471949,574916,4409,3332,3837,572,623,256,380,243,857,245,389,468,1814,275,543,1271,422.15626196859444,48.49003735990038,10.756197050517729,3.8436356470720354,319.0348525469169,19.925280199252803,3.074992155632256,0.5826900788008874,367.38797395633856,29.576587795765878,4.882334483840602,1.1505480465050248,54.76828801225584,18.913449564134496,5.873862566677126,2.6930876005670106,7.145391674609856,8.95609097676878,4.442388105392788,13.398479082161568
2004,NHW,12655,24590,225398,2022196,2284839,5174,4172,4732,442,1090,579,786,304,1881,785,1080,801,4671,1014,1705,2966,408.85025681548797,44.326962179747866,8.345238200871348,2.3098651169322855,329.6720663769261,23.54615697437983,3.482728329443917,0.501435073553701,373.92335045436585,31.964213094753966,4.791524325859147,0.8431428011923671,34.926906361122086,12.3627490849939,3.5537138750122006,1.4667223157399183,2.8667227756529017,3.633954077289472,1.975193875804816,5.609147953094288
2005,NHB,11042,13155,82862,473839,580898,4475,3427,3893,582,647,250,396,251,842,235,356,486,1779,279,513,1266,405.27078427821044,49.1828202204485,10.161473292944896,3.754439799172293,310.3604419489223,19.004180919802355,2.836040645893172,0.5888075907639515,352.5629414961058,30.102622576966933,4.296299872076465,1.0826462152756526,52.70784278210469,19.080197643481565,5.865173420868432,2.67179358389664,7.214691735898557,8.879355756087987,4.450006713743204,13.329362469831192
2005,NHW,12687,24469,228310,2005635,2271101,5170,4161,4710,460,1124,585,810,314,1896,795,1070,826,4548,936,1646,2902,407.50374398991096,45.935673709591725,8.304498269896193,2.2676110059906214,327.97351619768267,23.90780170828395,3.4821076606368533,0.46668511468936275,371.2461574840388,33.10311005762393,4.686610310542683,0.8206877123703964,36.257586505872155,12.832563651967796,3.6178879593535105,1.446923293620225,2.851920720390683,3.626434931779784,1.9822984534813732,5.608733385261157
2006,NHB,11094,13960,88385,501216,614655,4537,3433,3941,596,648,268,412,236,973,272,428,545,1935,300,591,1344,408.95979808905713,46.41833810888252,11.008655314815863,3.8606109940624402,309.44654768343247,19.197707736389685,3.0774452678621937,0.5985443401647194,355.23706508022354,29.512893982808023,4.842450642077275,1.1791323501244972,53.7227330088336,16.9054441260745,6.166204672738587,2.6814786439379428,6.951867307676664,8.739862199119832,4.426873612026259,13.16673581114609
2006,NHW,12731,25374,231154,2031879,2301138,5047,4056,4610,437,1063,609,811,252,1890,795,1089,801,4659,984,1696,2963,396.43390150027494,41.89327658232837,8.176367270304645,2.2929514995725633,318.59241222213495,24.00094585008276,3.4392655978265574,0.4842808060913076,362.1082397297934,31.961850713328605,4.711144950985058,0.8346953731004652,34.3256617704815,9.931425868999764,3.465222319319588,1.458256126472098,2.800353564193021,3.5660616616647935,1.9351294881054504,5.501191149770244
2007,NHB,11623,13943,88963,511604,626133,4603,3436,3948,655,683,273,417,266,909,261,409,500,1953,259,553,1400,396.0251226017379,48.985153840636876,10.217730966806425,3.817405649682176,295.620751957326,19.579717420928063,2.933803940964221,0.506250928452475,339.67134130603114,29.907480456142867,4.597416903656576,1.0809141445336627,56.35378129570679,19.077673384494013,5.6203140631498485,2.7364915051485132,6.754156065883766,8.507777101670092,4.50543255186997,13.013209653540063
2007,NHW,13032,24871,227537,2042336,2307776,5130,4094,4660,470,1073,551,768,305,1905,755,1061,844,4633,980,1629,3004,393.646408839779,43.14261589803385,8.372264730571292,2.2684807984582362,314.1497851442603,22.15431627196333,3.318141664872087,0.4798426899393636,357.58133824432167,30.879337380885367,4.6629778893103095,0.7976160631747176,36.065070595457335,12.263278517148485,3.709286841260982,1.4708647352835185,2.7645664050583765,3.5176724257466927,2.003227349621454,5.520899775368147
